name,classification,equipment,muscleGroup,difficulty,forceType,isFavorite,notes,id,createdAt,updatedAt
Dumbbell External Rotations,strength,Dumbbell,Shoulders,intermediate,push,False,"Dumbbell External Rotations: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the shoulders using dumbbell.",6651b8b5-678a-4665-a1ad-da0fcd92768f,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Dumbbell Flyes,strength,Dumbbell,Chest,beginner,push,True,Isolation exercise that helps improve strength and mobility for chest. Emphasizes stretch and squeeze.,2f6283ee-dbbf-4e12-b3e5-cffe28098948,2025-07-03T09:00:50.413000,2025-07-06T17:31:27.753000
Dumbbell Lateral Raises,strength,Dumbbell,Shoulders,beginner,push,False,Isolation exercise that helps improve strength and mobility for lateral deltoids. Use controlled movement.,e7a51c72-04d0-435d-bfac-874848f6a4a8,2025-07-03T09:00:50.414000,2025-07-03T09:00:50.414000
Dumbbell Overhead Triceps Ext,strength,Dumbbell,Arms,intermediate,push,False,"Overhead Triceps Ext (Dumbbell): This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the triceps using dumbbell.",aa71a3f8-0e9a-415c-bcba-75ce67ec9882,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Dumbbell Partial Lateral Raises,strength,Dumbbell,Shoulders,intermediate,push,False,"Partial Lateral Raises: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the shoulders using dumbbell.",bb6857e0-e105-4477-8a13-7d977fb31ce8,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Dumbbell Press (Decline),strength,Dumbbell,Chest,intermediate,push,False,"DB Press (Decline): This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the chest using dumbbell.",7fdcb720-1287-4459-bded-21f9b7727ee9,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Dumbbell Press (Flat),strength,Dumbbell,Chest,intermediate,push,False,"DB Press (Flat): This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the chest using dumbbell.",415b8b06-4461-4b4c-93b4-e88ad298edcb,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Dumbbell Press (Incline),strength,Dumbbell,chest,intermediate,push,False,"DB Press (Incline): This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the chest using dumbbell.",7d109e64-ed10-402f-8492-4acfa99d37dd,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Dumbbell Raise Combo (Front And Lateral),strength,Dumbbell,Shoulders,intermediate,push,False,"Dumbbell Raise Combo (Front and Lateral): This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the shoulders using dumbbell.",27ea8b94-f4bc-4784-9de3-a4197cac6cca,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Dumbbell Rear Delt Fly,strength,Dumbbell,Shoulders,intermediate,push,False,"Rear Delt Fly (Dumbbell): This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the chest using dumbbell.",d311ee92-5d9e-42f9-b88b-0c6c9055b1a7,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Dumbbell Shoulder Press,strength,Dumbbell,Shoulders,intermediate,push,False,"Dumbbell Shoulder Press: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the shoulders using dumbbell.",c52a149c-be26-445f-bfcd-bd9ab9cf55fa,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Dumbbell Shrugs,strength,Dumbbell,Shoulders,intermediate,pull,False,"Dumbbell Shrugs: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the shoulders using dumbbell.",0d6ec8fc-f711-4c1a-9bec-172d95f7cedb,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Dumbbell Single-Arm Triceps Ext,strength,Dumbbell,Arms,intermediate,push,False,"Single -Arm Triceps Ext (Dumbbell): This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the triceps using dumbbell.",e4e2903a-9af9-44a0-bb4f-e3794a220abb,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Dumbbell Single-Arm Lateral Raise,strength,Dumbbell,Shoulders,intermediate,push,False,"Single-Arm Lateral Raise: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the shoulders using dumbbell.",d6a010e8-88bf-4c6f-adf5-7f7c530212bb,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Dumbbell Single-Arm Overhead Press,strength,Dumbbell,Shoulders,intermediate,push,False,"Single-Arm Dumbbell Overhead Press: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the shoulders using dumbbell.",50d55152-d347-4cd9-a697-6e5bc2e39258,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Dumbbell Single-Arm Upright Row,strength,Dumbbell,Shoulders,intermediate,pull,False,"Single-Arm Upright Row: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the shoulders using dumbbell.",c5ec1808-d484-406b-8bba-b3772ebbf10d,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Dumbbell Skullcrusher,strength,Dumbbell,Arms,intermediate,push,False,"Dumbbell Skullcrusher: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the triceps using dumbbell.",a5b9a707-9ae7-4441-bac1-5b4e2c229d0e,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Dumbbell Spider Curl,strength,Dumbbell,Biceps,intermediate,pull,False,"Spider Curl: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the biceps using dumbbell.",29d41062-4d48-4ea2-ab3e-8f6d1382248f,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Dumbbell Tricep Kickback,strength,Dumbbell,Arms,intermediate,push,False,"Dumbbell Tricep Kickback: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the triceps using dumbbell.",3ea2a856-93cc-434a-82be-32eab1524517,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Dumbbell Triceps Extension,strength,Dumbbell,Arms,intermediate,push,False,"Dumbbell Triceps Extension: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the triceps using dumbbell.",09b3da73-8a3f-4a6e-9b39-d64122f420d0,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Dumbbell Zottman Curls,strength,Dumbbell,Biceps,intermediate,pull,False,"Zottman Curls: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the biceps using dumbbell.",540cd6b9-f90b-4b06-bbca-7af4cae0afc0,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Ez Bar Close Grip Curl,strength,Ez Bar,Biceps,intermediate,pull,False,"Ez Bar Close Grip Curl: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the biceps using ez bar.",3ec10b7d-1265-4d73-95d8-ee3701c2bf36,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Ez Bar Curl,strength,Ez Bar,Biceps,intermediate,pull,False,"EZ Bar Curl: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the biceps using ez bar.",6f9b46d7-afbe-4ded-80fa-fb353a5917cb,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Ez Bar Reverse Curl,strength,Ez Bar,Biceps,intermediate,pull,False,"EZ Bar Reverse Curl: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the biceps using ez bar.",6692871e-c7d5-418f-b9f3-ccca2faec92d,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Ez Bar Skullcrusher,strength,Ez Bar,Arms,intermediate,push,False,"EZ Bar Skullcrusher: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the triceps using ez bar.",bdf289de-b462-44f6-86df-d12463afebe3,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Ez Bar Overhead Triceps Ext,strength,Ez Bar,Arms,intermediate,push,False,"Overhead Triceps Ext (EZ Bar): This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the triceps using ez bar.",0cb0f84d-9e6d-417d-a06b-e2bd2c61d050,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Ez Bar Upright Row,strength,Ez Bar,Back,intermediate,pull,False,"Upright Row (EZ Bar): This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the back using ez bar.",f0b769b8-9ee1-4a90-9ba9-ecdf95661745,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Kettlebell Deadlift,strength,Kettlebell,Back,intermediate,pull,False,"Kettlebell Deadlift: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the back using kettlebell.",a1110066-ae6d-4c1d-995f-4df6ca7d3f45,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Smith Machine Behind the Neck Shoulder Press,strength,Machine,Shoulders,intermediate,push,False,"Behind-the-Neck Press: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the chest using machine.",9acae012-ae42-412e-8511-d59b2679dd52,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Machine Calf Press,strength,Machine,Legs,intermediate,push,False,"Machine Calf Press: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the chest using machine.",448b2226-28b2-4285-86d0-d4e0eb01fd35,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Machine Chest Fly,strength,Machine,Legs,intermediate,push,False,"Machine Chest Fly: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the chest using machine.",4aae54c7-30b9-4423-8bb6-d4e14d54d487,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Machine Chest Press (Decline),strength,Machine,Chest,intermediate,push,False,"Machine Chest Press (Decline): This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the chest using machine.",8f40b14d-51ea-4ede-9fd1-cd923a1a6422,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Machine Chest Press (Flat),strength,Machine,Chest,intermediate,push,False,"Machine Chest Press (Flat): This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the chest using machine.",88ec2702-ae0f-4a60-846f-e33c049afb58,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Machine Chest Press (Incline),strength,Machine,Chest,intermediate,push,False,"Machine Chest Press (Incline): This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the chest using machine.",a752c4d7-409c-4a84-bfb3-931d21b3e1c6,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Machine Close Grip Lat Pulldown,strength,Machine,Back,intermediate,pull,False,"Close Grip Lat Pulldown: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the back using machine.",75f21e7d-d394-4ef6-9473-7998ab5d45b6,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Machine Cockroach Killers,flexibility,Machine,Legs,beginner,push,False,"Using an assisted pullup/dip machine, one leg at a time drives the support platform down.",2fe5ea81-a10e-4f2e-bbb1-681820637938,2025-07-06T17:30:41.132000,2025-07-06T17:30:41.132000
Machine Dip,strength,Machine,Arms,intermediate,push,False,"Dip Machine: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the triceps using machine.",4f623fd0-c27e-48c5-85cb-ee02178b0767,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Machine Dips (Seated Close),strength,Machine,Arms,beginner,push,False,"Dips (Machine Seated Close): This is a beginner level, compound strength exercise that helps improve strength and mobility targeting the chest using machine.",a08b251a-4be4-476d-9509-cf5eb67a323c,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Machine Dips (Seated Wide),strength,Machine,Chest,beginner,push,False,"Dips (Machine Seated Wide): This is a beginner level, compound strength exercise that helps improve strength and mobility targeting the chest using machine.",9ee12b47-2c32-4d9f-b5e0-2a00ff864be8,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Machine Dips (Assisted Close Grip/Tricep Focus),strength,Machine,Chest,beginner,push,False,"Dips (Assisted Close Grip/Tricep Focus): This is a beginner level, compound strength exercise that helps improve strength and mobility targeting the triceps using machine.",6b6b6760-5536-401d-b301-8c90e9367e1f,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Machine Dips (Assisted Wide Grip/Chest Focus),strength,Machine,Arms,beginner,push,False,"Dips (Assisted Wide Grip/Chest Focus): This is a beginner level, compound strength exercise that helps improve strength and mobility targeting the chest using machine.",34db6e16-8ee5-47ec-be34-531fef7e2368,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Machine Hip Abduction,strength,Machine,Glutes,intermediate,squeeze,False,"Hip Abduction: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the glutes using machine.",356fbefe-1474-47db-b746-ba268d5174bf,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Machine Landmine Press,strength,Machine,Chest,intermediate,push,False,"Landmine Press: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the chest using machine.",6fe7b1f8-d163-41dc-be46-a38b4fb20263,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Machine Reverse Fly,strength,Machine,Shoulders,intermediate,push,False,"Reverse Fly Machine: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the chest using machine.",74fc0f3b-2c6a-4958-8bfc-f0a7c4fa8c0d,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Machine Reverse Hyperextension,strength,Machine,Glutes,intermediate,squeeze,False,"Reverse Hyperextension: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the glutes using machine.",7dcbd592-c636-4b9a-b3ff-b79a3c18b663,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Machine Seated Bent-Over Rear Delt Raise,strength,Machine,Shoulders,intermediate,push,False,"Seated Bent-Over Rear Delt Raise: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the shoulders using machine.",a98d96df-9e4d-425f-9d17-b3dfc3e4a769,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Machine Seated Calf Raise,strength,Machine,Legs,intermediate,push,False,"Seated Calf Raise: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the legs using machine.",7fbf36a7-2dc0-4004-8487-4fb6a23c470b,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Machine Seated Military Press,strength,Machine,Shoulders,intermediate,push,False,"Seated Military Press: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the shoulders using machine.",d172447e-45f8-4955-b7b9-5247e3dc0680,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Machine Seated Row,strength,Machine,Back,intermediate,pull,False,"Seated Machine Row: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the back using machine.",fb1bf47d-ce32-4806-9504-0f2331682a10,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Machine Shoulder Press,strength,Machine,Shoulders,intermediate,push,False,"Machine Shoulder Press: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the shoulders using machine.",68c09d62-e71d-4801-ba68-d4b309550ef8,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Machine Single Leg Press,strength,Machine,Legs,intermediate,push,False,"Single Leg Press: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the legs using machine.",aaa7c1b4-933d-4424-ae30-cc42f011203b,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Machine Single-Arm Arnold Press,strength,Machine,Shoulders,intermediate,push,False,"Single-Arm Arnold Press: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the chest using machine.",31aac350-db2d-4549-b208-d5c65761b408,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Machine Smith Close-Grip Bench Press,strength,Machine,Chest,intermediate,push,False,"Smith Machine Close-Grip Bench Press: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the chest using machine.",e3a73574-e564-41c2-b24a-c7c4dfe2c432,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Machine Smith Lunge,strength,Machine,Legs,intermediate,push,False,"Smith Machine Lunge: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the legs using machine.",fd7c447f-c783-487f-a5af-fafcb200e5ef,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Machine Smith Overhead Press,strength,Machine,Shoulders,intermediate,push,False,"Smith Machine Overhead Press: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the shoulders using machine.",d55905c1-6cf5-415f-b658-a6f0a6fe68e5,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Machine Smith Upright Row,strength,Machine,Back,intermediate,pull,False,"Smith Machine Upright Row: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the back using machine.",0bbb5c37-6f92-4687-b3d0-dc31cbd21d57,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Machine Standing Calf Raise,strength,Machine,Legs,intermediate,push,False,"Standing Calf Raise: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the legs using machine.",68e0b5ac-92d5-4321-bc15-8faa0afc175b,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Machine Svend Press (Plate Pincher),strength,Machine,Chest,intermediate,push,False,"Svend Press (Plate Pincher): This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the chest using machine.",9f0ff07e-a12d-4db2-a8c1-6a3f894ebc47,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Resistance Band Glute Bridge,strength,Resistance Band,Glutes,intermediate,squeeze,False,"Resistance Band Glute Bridge: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the glutes using resistance band.",7ce00ecc-22de-4935-8845-bd08dcb86def,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
,,,,,,,,,,
Machine Hack Squat,Strength,Machine,Legs,Intermediate,Push,False,Machine-based leg exercise targeting quadriceps and glutes. Provides controlled resistance and safety.,new-machine-hack-squat-001,2025-07-10T09:00:00.000000,2025-07-10T09:00:00.000000
Smith Machine Hack Squat,Strength,Machine,Legs,Intermediate,Push,False,Smith Machine Variation Of Hack Squat Providing Guided Bar Path For Safety And Control.,New-Smith-Hack-Squat-001,2025-07-10T09:00:00.000000,2025-07-10T09:00:00.000000
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
